"nivel","categoria","referencia","titulo","estado","fuente_oficial","url_canonica","url_pdf","aplicabilidad","notas","fecha_verificacion"
"ETSE","seguridad","Normas SST marzo 2016","Normas de seguridad y salud en los lugares de trabajo","publicado_vigencia_por_confirmar","ETSE-UV","https://www.uv.es/uvweb/enginyeria/ca/escola/normatives-1285845343814.html","https://www.uv.es/etsedoc/seguretat/NORMAS%20SEGURIDAD%20Y%20SALUD%20EN%20LUGARES%20DE%20TRABAJO.marzo%202016.pdf","Trabajo en instalaciones y laboratorios","Documento de 2016; debe complementarse con evaluaciones de riesgo y protocolos locales actuales","2026-08-08"
"UV-ETSE","TFG_TFM","ACGUV 206/2024","Reglamento de trabajos de fin de grado y de fin de máster de la Universitat de València","vigente","Universitat de València","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/estudios/reglamentacion-general-1285868559417.html","https://www.uv.es/convenisestud/TFG-TFM/Reglamento_TFG-TFM-2024.pdf","TFG y TFM de titulaciones UV, con desarrollo específico de centro","Norma general; consultar además calendarios, guías y acuerdos de la CAT/CCA","2026-08-08"
"ETSE","TFM","Calendario TFM ETSE 2026","Calendario de procesos de TFM de la ETSE 2026","vigente_periodo_2026","ETSE-UV","https://www.uv.es/uvweb/enginyeria/ca/estudis-postgrau/masters-oficials/treball-fi-master-1285845343824.html","https://www.uv.es/etsedoc/Masteres/TFM/CALENDARIO%20DE%20PROCESOS%20DE%20TFM%20DE%20LA%20ETSE_2026_val.pdf","Plazos de propuesta, depósito, defensa y evaluación de TFM","Documento temporal; revisar cada curso académico","2026-08-08"
"ETSE","TFM","Instrucciones TFM confidenciales","Instrucciones para TFM sujetos a confidencialidad","publicado_vigencia_por_confirmar","ETSE-UV","https://www.uv.es/uvweb/enginyeria/ca/estudis-postgrau/masters-oficials/treball-fi-master-1285845343824.html","https://www.uv.es/etsedoc/TFM/instruccionsTFMconfidencialesVAL.pdf","TFM con información confidencial, empresas o resultados protegibles","Aplicar también propiedad intelectual, secretos empresariales y normativa de protección de datos","2026-08-08"
"UV-ETSE","TFG_TFM","Anexo I ACGUV 206/2024","Acuerdo de confidencialidad para TFG/TFM","vigente_como_anexo","Universitat de València","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/estudios/reglamentacion-general-1285868559417.html","https://www.uv.es/convenisestud/TFG-TFM/Annex-I-autorellenable.pdf","Formalización de confidencialidad en TFG y TFM","Modelo autorrellenable oficial","2026-08-08"
"UV-ETSE","TFG_TFM","Anexo II ACGUV 206/2024","Compromiso de confidencialidad de miembros del tribunal","vigente_como_anexo","Universitat de València","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/estudios/reglamentacion-general-1285868559417.html","https://www.uv.es/convenisestud/TFG-TFM/Annex-II-autorellenable.pdf","Tribunales de TFG y TFM confidenciales","Modelo autorrellenable oficial","2026-08-08"
"UV-ETSE","TFG_TFM","Anexo III ACGUV 206/2024","Solicitud de defensa no pública de TFG/TFM","vigente_como_anexo","Universitat de València","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/estudios/reglamentacion-general-1285868559417.html","https://www.uv.es/convenisestud/TFG-TFM/Annex-III-autorellenable.pdf","Solicitud y justificación de defensa restringida","Modelo autorrellenable oficial","2026-08-08"
"Departamento de Ingeniería Electrónica","organizacion","RRI DIE","Reglamento de régimen interno del Departamento de Ingeniería Electrónica","vigencia_por_confirmar","Departamento de Ingeniería Electrónica-UV","https://www.uv.es/uvweb/departamento-ingenieria-electronica/es/departamento/presentacion/normativa-1285852850712.html","https://www.uv.es/dieweb/Reglamento_Regimen_Interno.pdf","Consejo, dirección, comisiones, unidades y funcionamiento del departamento","La publicación oficial no muestra claramente una revisión LOSU/Estatutos 2026","2026-08-08"
"ICMUV","organizacion","ACGUV 131/2008","Reglamento de régimen interno del Institut de Ciència dels Materials","vigencia_por_confirmar","Universitat de València","https://www.uv.es/uvweb/registro-general/es/reglamentos-uv/reg-regimen-int-/institutos-1285894352731.html","https://www.uv.es/sgeneral/Reglamentacio/Doc/Regl_Reg_Intern_Instituts/ICMUV.pdf","Gobierno, miembros, unidades y funcionamiento del ICMUV","Texto aprobado en 2008; revisar compatibilidad con LOSU y Estatutos 2026","2026-08-08"
"ICMUV","creacion","Decreto 36/1995, de 21 de febrero","Creación del Institut de Ciència dels Materials de la Universitat de València","vigente_como_norma_de_creacion","Generalitat Valenciana / ICMUV","https://www.uv.es/uvweb/institut-ciencia-materials-icmuv/ca/icmuv/presentacio-1285918028165.html","","Norma constitutiva del instituto","La página oficial identifica el decreto; no se ha localizado una copia digital oficial estable del DOGV histórico","2026-08-08"
